first_name,last_name,company_name,address,city,county,state,zip,phone1,phone2,email,web,name,image_link
Tyra,Shields,"Assink, Anne H Esq",3 Fort Worth Ave,Philadelphia,Philadelphia,PA,19106,215-255-1641,215-228-8264,tshields@gmail.com,http://www.assinkannehesq.com,Tyra Shields,https://mosaic01.ztat.net/vgs/media/large/RE/54/1A/0I/QK/11/RE541A0IQ-K11@10.jpg
Tammara,Wardrip,Jewel My Shop Inc,4800 Black Horse Pike,Burlingame,San Mateo,CA,94010,650-803-1936,650-216-5075,twardrip@cox.net,http://www.jewelmyshopinc.com,Tammara Wardrip,https://mosaic01.ztat.net/vgs/media/large/S5/98/1A/00/FK/11/S5981A00F-K11@2.jpg
Cory,Gibes,Chinese Translation Resources,83649 W Belmont Ave,San Gabriel,Los Angeles,CA,91776,626-572-1096,626-696-2777,cory.gibes@gmail.com,http://www.chinesetranslationresources.com,Cory Gibes,https://mosaic01.ztat.net/vgs/media/large/S5/98/1A/00/FK/11/S5981A00F-K11@2.jpg
Danica,Bruschke,"Stevens, Charles T",840 15th Ave,Waco,McLennan,TX,76708,254-782-8569,254-205-1422,danica_bruschke@gmail.com,http://www.stevenscharlest.com,Danica Bruschke,https://mosaic01.ztat.net/vgs/media/large/S5/98/1A/00/FK/11/S5981A00F-K11@2.jpg
Wilda,Giguere,"Mclaughlin, Luther W Cpa",1747 Calle Amanecer #2,Anchorage,Anchorage,AK,99501,907-870-5536,907-914-9482,wilda@cox.net,http://www.mclaughlinlutherwcpa.com,Wilda Giguere,https://mosaic01.ztat.net/vgs/media/large/S5/98/1A/00/FK/11/S5981A00F-K11@2.jpg
Elvera,Benimadho,Tree Musketeers,99385 Charity St #840,San Jose,Santa Clara,CA,95110,408-703-8505,408-440-8447,elvera.benimadho@cox.net,http://www.treemusketeers.com,Elvera Benimadho,https://mosaic01.ztat.net/vgs/media/large/S5/98/1A/00/FK/11/S5981A00F-K11@2.jpg
Carma,Vanheusen,Springfield Div Oh Edison Co,68556 Central Hwy,San Leandro,Alameda,CA,94577,510-503-7169,510-452-4835,carma@cox.net,http://www.springfielddivohedisonco.com,Carma Vanheusen,https://mosaic01.ztat.net/vgs/media/large/S5/98/1A/00/FK/11/S5981A00F-K11@2.jpg
Malinda,Hochard,Logan Memorial Hospital,55 Riverside Ave,Indianapolis,Marion,IN,46202,317-722-5066,317-472-2412,malinda.hochard@yahoo.com,http://www.loganmemorialhospital.com,Malinda Hochard,https://mosaic01.ztat.net/vgs/media/large/SP/A2/9G/00/3K/11/SPA29G003-K11@10.jpg
Natalie,Fern,"Kelly, Charles G Esq",7140 University Ave,Rock Springs,Sweetwater,WY,82901,307-704-8713,307-279-3793,natalie.fern@hotmail.com,http://www.kellycharlesgesq.com,Natalie Fern,https://mosaic01.ztat.net/vgs/media/large/SP/A2/9G/00/3K/11/SPA29G003-K11@10.jpg
Lisha,Centini,Industrial Paper Shredders Inc,64 5th Ave #1153,Mc Lean,Fairfax,VA,22102,703-235-3937,703-475-7568,lisha@centini.org,http://www.industrialpapershreddersinc.com,Lisha Centini,https://mosaic01.ztat.net/vgs/media/large/HU/72/2D/05/TG/11/HU722D05T-G11@12.jpg
Arlene,Klusman,Beck Horizon Builders,3 Secor Rd,New Orleans,Orleans,LA,70112,504-710-5840,504-946-1807,arlene_klusman@gmail.com,http://www.beckhorizonbuilders.com,Arlene Klusman,https://mosaic01.ztat.net/vgs/media/large/HU/72/2D/05/TG/11/HU722D05T-G11@12.jpg
Alease,Buemi,Porto Cayo At Hawks Cay,4 Webbs Chapel Rd,Boulder,Boulder,CO,80303,303-301-4946,303-521-9860,alease@buemi.com,http://www.portocayoathawkscay.com,Alease Buemi,https://mosaic01.ztat.net/vgs/media/large/HU/72/2D/05/TG/11/HU722D05T-G11@12.jpg
Louisa,Cronauer,Pacific Grove Museum Ntrl Hist,524 Louisiana Ave Nw,San Leandro,Alameda,CA,94577,510-828-7047,510-472-7758,louisa@cronauer.com,http://www.pacificgrovemuseumntrlhist.com,Louisa Cronauer,https://mosaic01.ztat.net/vgs/media/large/HU/72/2D/05/TG/11/HU722D05T-G11@12.jpg
Angella,Cetta,Bender & Hatley Pc,185 Blackstone Bldge,Honolulu,Honolulu,HI,96817,808-892-7943,808-475-2310,angella.cetta@hotmail.com,http://www.benderhatleypc.com,Angella Cetta,https://mosaic01.ztat.net/vgs/media/large/HU/72/2D/05/TG/11/HU722D05T-G11@12.jpg
Cyndy,Goldammer,Di Cristina J & Son,170 Wyoming Ave,Burnsville,Dakota,MN,55337,952-334-9408,952-938-9457,cgoldammer@cox.net,http://www.dicristinajson.com,Cyndy Goldammer,https://mosaic01.ztat.net/vgs/media/large/HU/72/2D/05/TG/11/HU722D05T-G11@12.jpg
Rosio,Cork,Green Goddess,4 10th St W,High Point,Guilford,NC,27263,336-243-5659,336-497-4407,rosio.cork@gmail.com,http://www.greengoddess.com,Rosio Cork,https://mosaic01.ztat.net/vgs/media/large/HU/72/2D/05/TG/11/HU722D05T-G11@12.jpg
Celeste,Korando,American Arts & Graphics,7 W Pinhook Rd,Lynbrook,Nassau,NY,11563,516-509-2347,516-365-7266,ckorando@hotmail.com,http://www.americanartsgraphics.com,Celeste Korando,https://mosaic01.ztat.net/vgs/media/large/UN/24/2B/0E/FC/12/UN242B0EF-C12@12.jpg
Twana,Felger,Opryland Hotel,1 Commerce Way,Portland,Washington,OR,97224,503-939-3153,503-909-7167,twana.felger@felger.org,http://www.oprylandhotel.com,Twana Felger,https://mosaic01.ztat.net/vgs/media/large/UN/24/2B/0E/FC/12/UN242B0EF-C12@12.jpg
Estrella,Samu,Marking Devices Pubg Co,64 Lakeview Ave,Beloit,Rock,WI,53511,608-976-7199,608-942-8836,estrella@aol.com,http://www.markingdevicespubgco.com,Estrella Samu,https://mosaic01.ztat.net/vgs/media/large/UN/24/2B/0E/FC/12/UN242B0EF-C12@12.jpg
Donte,Kines,W Tc Industries Inc,3 Aspen St,Worcester,Worcester,MA,1602,508-429-8576,508-843-1426,dkines@hotmail.com,http://www.wtcindustriesinc.com,Donte Kines,https://mosaic01.ztat.net/vgs/media/large/UN/24/2B/0E/FC/12/UN242B0EF-C12@12.jpg
Tiffiny,Steffensmeier,Whitehall Robbins Labs Divsn,32860 Sierra Rd,Miami,Miami-Dade,FL,33133,305-385-9695,305-304-6573,tiffiny_steffensmeier@cox.net,http://www.whitehallrobbinslabsdivsn.com,Tiffiny Steffensmeier,https://mosaic01.ztat.net/vgs/media/large/UN/24/2B/0E/FC/12/UN242B0EF-C12@12.jpg
Edna,Miceli,Sampler,555 Main St,Erie,Erie,PA,16502,814-460-2655,814-299-2877,emiceli@miceli.org,http://www.sampler.com,Edna Miceli,https://mosaic01.ztat.net/vgs/media/large/EF/32/9I/00/7C/11/EF329I007-C11@10.jpg
Sue,Kownacki,Juno Chefs Incorporated,2 Se 3rd Ave,Mesquite,Dallas,TX,75149,972-666-3413,972-742-4000,sue@aol.com,http://www.junochefsincorporated.com,Sue Kownacki,https://mosaic01.ztat.net/vgs/media/large/PC/72/1E/06/8A/11/PC721E068-A11@2.jpg
Jesusa,Shin,"Carroccio, A Thomas Esq",2239 Shawnee Mission Pky,Tullahoma,Coffee,TN,37388,931-273-8709,931-739-1551,jshin@shin.com,http://www.carroccioathomasesq.com,Jesusa Shin,https://mosaic01.ztat.net/vgs/media/large/DP/55/1H/0F/NJ/11/DP551H0FN-J11@12.jpg
Rolland,Francescon,"Stanley, Richard L Esq",2726 Charcot Ave,Paterson,Passaic,NJ,7501,973-649-2922,973-284-4048,rolland@cox.net,http://www.stanleyrichardlesq.com,Rolland Francescon,https://mosaic01.ztat.net/vgs/media/large/PE/12/2G/06/KK/11/PE122G06K-K11@12.jpg
Pamella,Schmierer,K Cs Cstm Mouldings Windows,5161 Dorsett Rd,Homestead,Miami-Dade,FL,33030,305-420-8970,305-575-8481,pamella.schmierer@schmierer.org,http://www.kcscstmmouldingswindows.com,Pamella Schmierer,https://mosaic01.ztat.net/vgs/media/large/PE/12/2G/06/KK/11/PE122G06K-K11@12.jpg
Glory,Kulzer,Comfort Inn,55892 Jacksonville Rd,Owings Mills,Baltimore,MD,21117,410-224-9462,410-916-8015,gkulzer@kulzer.org,http://www.comfortinn.com,Glory Kulzer,https://mosaic01.ztat.net/vgs/media/large/F5/71/3I/A2/RQ/11/F5713IA2R-Q11@12.jpg
Shawna,Palaspas,"Windsor, James L Esq",5 N Cleveland Massillon Rd,Thousand Oaks,Ventura,CA,91362,805-275-3566,805-638-6617,shawna_palaspas@palaspas.org,http://www.windsorjameslesq.com,Shawna Palaspas,https://mosaic01.ztat.net/vgs/media/large/F5/71/3I/A2/RQ/11/F5713IA2R-Q11@12.jpg
Brandon,Callaro,Jackson Shields Yeiser,7 Benton Dr,Honolulu,Honolulu,HI,96819,808-215-6832,808-240-5168,brandon_callaro@hotmail.com,http://www.jacksonshieldsyeiser.com,Brandon Callaro,https://mosaic01.ztat.net/vgs/media/large/F5/71/3I/A2/RQ/11/F5713IA2R-Q11@12.jpg
Scarlet,Cartan,"Box, J Calvin Esq",9390 S Howell Ave,Albany,Dougherty,GA,31701,229-735-3378,229-365-9658,scarlet.cartan@yahoo.com,http://www.boxjcalvinesq.com,Scarlet Cartan,https://mosaic01.ztat.net/vgs/media/large/F5/71/3I/A2/RQ/11/F5713IA2R-Q11@12.jpg
Oretha,Menter,Custom Engineering Inc,8 County Center Dr #647,Boston,Suffolk,MA,2210,617-418-5043,617-697-6024,oretha_menter@yahoo.com,http://www.customengineeringinc.com,Oretha Menter,https://mosaic01.ztat.net/vgs/media/large/RI/92/1C/09/NQ/11/RI921C09N-Q11@12.jpg
Ty,Smith,Bresler Eitel Framg Gllry Ltd,4646 Kaahumanu St,Hackensack,Bergen,NJ,7601,201-672-1553,201-995-3149,tsmith@aol.com,http://www.breslereitelframggllryltd.com,Ty Smith,https://mosaic01.ztat.net/vgs/media/large/RI/92/1C/09/NQ/11/RI921C09N-Q11@12.jpg
Xuan,Rochin,"Carol, Drake Sparks Esq",2 Monroe St,San Mateo,San Mateo,CA,94403,650-933-5072,650-247-2625,xuan@gmail.com,http://www.caroldrakesparksesq.com,Xuan Rochin,https://mosaic01.ztat.net/vgs/media/large/TR/12/2E/00/RQ/11/TR122E00R-Q11@10.jpg
Lindsey,Dilello,Biltmore Investors Bank,52777 Leaders Heights Rd,Ontario,San Bernardino,CA,91761,909-639-9887,909-589-1693,lindsey.dilello@hotmail.com,http://www.biltmoreinvestorsbank.com,Lindsey Dilello,https://mosaic01.ztat.net/vgs/media/large/TR/12/2E/00/RQ/11/TR122E00R-Q11@10.jpg
Devora,Perez,Desco Equipment Corp,72868 Blackington Ave,Oakland,Alameda,CA,94606,510-955-3016,510-755-9274,devora_perez@perez.org,http://www.descoequipmentcorp.com,Devora Perez,https://mosaic01.ztat.net/vgs/media/large/TR/12/2E/00/RQ/11/TR122E00R-Q11@10.jpg
Herman,Demesa,Merlin Electric Co,9 Norristown Rd,Troy,Rensselaer,NY,12180,518-497-2940,518-931-7852,hdemesa@cox.net,http://www.merlinelectricco.com,Herman Demesa,https://mosaic01.ztat.net/vgs/media/large/WD/22/1D/00/5J/11/WD221D005-J11@1.1.jpg
Rory,Papasergi,Bailey Cntl Co Div Babcock,83 County Road 437 #8581,Clarks Summit,Lackawanna,PA,18411,570-867-7489,570-469-8401,rpapasergi@cox.net,http://www.baileycntlcodivbabcock.com,Rory Papasergi,https://mosaic01.ztat.net/vgs/media/large/WD/22/1D/00/5J/11/WD221D005-J11@1.1.jpg
Talia,Riopelle,Ford Brothers Wholesale Inc,1 N Harlem Ave #9,Orange,Essex,NJ,7050,973-245-2133,973-818-9788,talia_riopelle@aol.com,http://www.fordbrotherswholesaleinc.com,Talia Riopelle,https://mosaic01.ztat.net/vgs/media/large/WD/22/1D/00/5J/11/WD221D005-J11@1.1.jpg
Van,Shire,Cambridge Inn,90131 J St,Pittstown,Hunterdon,NJ,8867,908-409-2890,908-448-1209,van.shire@shire.com,http://www.cambridgeinn.com,Van Shire,https://mosaic01.ztat.net/vgs/media/large/WD/22/1D/00/5J/11/WD221D005-J11@1.1.jpg
Lucina,Lary,"Matricciani, Albert J Jr",8597 W National Ave,Cocoa,Brevard,FL,32922,321-749-4981,321-632-4668,lucina_lary@cox.net,http://www.matriccianialbertjjr.com,Lucina Lary,https://mosaic01.ztat.net/vgs/media/large/WD/22/1D/00/5J/11/WD221D005-J11@1.1.jpg
Bok,Isaacs,Nelson Hawaiian Ltd,6 Gilson St,Bronx,Bronx,NY,10468,718-809-3762,718-478-8568,bok.isaacs@aol.com,http://www.nelsonhawaiianltd.com,Bok Isaacs,https://mosaic01.ztat.net/vgs/media/large/CB/95/2L/01/AD/11/CB952L01A-D11@9.jpg
Rolande,Spickerman,Neland Travel Agency,65 W Maple Ave,Pearl City,Honolulu,HI,96782,808-315-3077,808-526-5863,rolande.spickerman@spickerman.com,http://www.nelandtravelagency.com,Rolande Spickerman,https://mosaic01.ztat.net/vgs/media/large/AI/21/1N/00/BK/11/AI211N00B-K11@12.jpg
Howard,Paulas,"Asendorf, J Alan Esq",866 34th Ave,Denver,Denver,CO,80231,303-623-4241,303-692-3118,hpaulas@gmail.com,http://www.asendorfjalanesq.com,Howard Paulas,https://mosaic01.ztat.net/vgs/media/large/AI/21/1N/00/BK/11/AI211N00B-K11@12.jpg
Kimbery,Madarang,"Silberman, Arthur L Esq",798 Lund Farm Way,Rockaway,Morris,NJ,7866,973-310-1634,973-225-6259,kimbery_madarang@cox.net,http://www.silbermanarthurlesq.com,Kimbery Madarang,https://mosaic01.ztat.net/vgs/media/large/AI/21/1N/00/BK/11/AI211N00B-K11@12.jpg
Thurman,Manno,Honey Bee Breeding Genetics &,9387 Charcot Ave,Absecon,Atlantic,NJ,8201,609-524-3586,609-234-8376,thurman.manno@yahoo.com,http://www.honeybeebreedinggenetics.com,Thurman Manno,https://mosaic01.ztat.net/vgs/media/large/AI/21/1N/00/BK/11/AI211N00B-K11@12.jpg
Becky,Mirafuentes,Wells Kravitz Schnitzer,30553 Washington Rd,Plainfield,Union,NJ,7062,908-877-8409,908-426-8272,becky.mirafuentes@mirafuentes.com,http://www.wellskravitzschnitzer.com,Becky Mirafuentes,https://mosaic01.ztat.net/vgs/media/large/AI/21/1N/00/BK/11/AI211N00B-K11@12.jpg
Beatriz,Corrington,Prohab Rehabilitation Servs,481 W Lemon St,Middleboro,Plymouth,MA,2346,508-584-4279,508-315-3867,beatriz@yahoo.com,http://www.prohabrehabilitationservs.com,Beatriz Corrington,https://mosaic01.ztat.net/vgs/media/large/AI/21/1N/00/BK/11/AI211N00B-K11@12.jpg
Marti,Maybury,"Eldridge, Kristin K Esq",4 Warehouse Point Rd #7,Chicago,Cook,IL,60638,773-775-4522,773-539-1058,marti.maybury@yahoo.com,http://www.eldridgekristinkesq.com,Marti Maybury,https://mosaic01.ztat.net/vgs/media/large/AI/21/1N/00/BK/11/AI211N00B-K11@12.jpg
Nieves,Gotter,"Vlahos, John J Esq",4940 Pulaski Park Dr,Portland,Multnomah,OR,97202,503-527-5274,503-455-3094,nieves_gotter@gmail.com,http://www.vlahosjohnjesq.com,Nieves Gotter,https://mosaic01.ztat.net/vgs/media/large/EI/42/1B/00/4D/11/EI421B004-D11@10.jpg
Leatha,Hagele,Ninas Indian Grs & Videos,627 Walford Ave,Dallas,Dallas,TX,75227,214-339-1809,214-225-5850,lhagele@cox.net,http://www.ninasindiangrsvideos.com,Leatha Hagele,https://mosaic01.ztat.net/vgs/media/large/B0/P2/1C/00/MK/11/B0P21C00M-K11@13.jpg
Valentin,Klimek,"Schmid, Gayanne K Esq",137 Pioneer Way,Chicago,Cook,IL,60604,312-303-5453,312-512-2338,vklimek@klimek.org,http://www.schmidgayannekesq.com,Valentin Klimek,https://mosaic01.ztat.net/vgs/media/large/B0/P2/1C/00/MK/11/B0P21C00M-K11@13.jpg
Melissa,Wiklund,Moapa Valley Federal Credit Un,61 13 Stoneridge #835,Findlay,Hancock,OH,45840,419-939-3613,419-254-4591,melissa@cox.net,http://www.moapavalleyfederalcreditun.com,Melissa Wiklund,https://mosaic01.ztat.net/vgs/media/large/B0/P2/1C/00/MK/11/B0P21C00M-K11@13.jpg
Sheridan,Zane,Kentucky Tennessee Clay Co,2409 Alabama Rd,Riverside,Riverside,CA,92501,951-645-3605,951-248-6822,sheridan.zane@zane.com,http://www.kentuckytennesseeclayco.com,Sheridan Zane,https://mosaic01.ztat.net/vgs/media/large/GE/11/3F/00/UC/11/GE113F00U-C11@12.jpg
Bulah,Padilla,Admiral Party Rentals & Sales,8927 Vandever Ave,Waco,McLennan,TX,76707,254-463-4368,254-816-8417,bulah_padilla@hotmail.com,http://www.admiralpartyrentalssales.com,Bulah Padilla,https://mosaic01.ztat.net/vgs/media/large/GE/11/3F/00/UC/11/GE113F00U-C11@12.jpg
Audra,Kohnert,"Nelson, Karolyn King Esq",134 Lewis Rd,Nashville,Davidson,TN,37211,615-406-7854,615-448-9249,audra@kohnert.com,http://www.nelsonkarolynkingesq.com,Audra Kohnert,https://mosaic01.ztat.net/vgs/media/large/SU/22/2S/0J/9K/11/SU222S0J9-K11@12.jpg
Daren,Weirather,Panasystems,9 N College Ave #3,Milwaukee,Milwaukee,WI,53216,414-959-2540,414-838-3151,dweirather@aol.com,http://www.panasystems.com,Daren Weirather,https://mosaic01.ztat.net/vgs/media/large/SU/22/2S/0J/9K/11/SU222S0J9-K11@12.jpg
Fernanda,Jillson,"Shank, Edward L Esq",60480 Old Us Highway 51,Preston,Caroline,MD,21655,410-387-5260,410-724-6472,fjillson@aol.com,http://www.shankedwardlesq.com,Fernanda Jillson,https://mosaic01.ztat.net/vgs/media/large/SU/22/2S/0J/9K/11/SU222S0J9-K11@12.jpg
Gearldine,Gellinger,Megibow & Edwards,4 Bloomfield Ave,Irving,Dallas,TX,75061,972-934-6914,972-821-7118,gearldine_gellinger@gellinger.com,http://www.megibowedwards.com,Gearldine Gellinger,https://mosaic01.ztat.net/vgs/media/large/SU/22/2S/0J/9K/11/SU222S0J9-K11@12.jpg
Chau,Kitzman,"Benoff, Edward Esq",429 Tiger Ln,Beverly Hills,Los Angeles,CA,90212,310-560-8022,310-969-7230,chau@gmail.com,http://www.benoffedwardesq.com,Chau Kitzman,https://mosaic01.ztat.net/vgs/media/large/SU/22/2S/0J/9K/11/SU222S0J9-K11@12.jpg
Theola,Frey,Woodbridge Free Public Library,54169 N Main St,Massapequa,Nassau,NY,11758,516-948-5768,516-357-3362,theola_frey@frey.com,http://www.woodbridgefreepubliclibrary.com,Theola Frey,https://mosaic01.ztat.net/vgs/media/large/NA/82/3A/0E/MK/11/NA823A0EM-K11@8.jpg
Cheryl,Haroldson,New York Life John Thune,92 Main St,Atlantic City,Atlantic,NJ,8401,609-518-7697,609-263-9243,cheryl@haroldson.org,http://www.newyorklifejohnthune.com,Cheryl Haroldson,https://mosaic01.ztat.net/vgs/media/large/NA/82/3A/0E/MK/11/NA823A0EM-K11@8.jpg
Laticia,Merced,Alinabal Inc,72 Mannix Dr,Cincinnati,Hamilton,OH,45203,513-508-7371,513-418-1566,lmerced@gmail.com,http://www.alinabalinc.com,Laticia Merced,https://mosaic01.ztat.net/vgs/media/large/NA/82/3A/0E/MK/11/NA823A0EM-K11@8.jpg
Carissa,Batman,"Poletto, Kim David Esq",12270 Caton Center Dr,Eugene,Lane,OR,97401,541-326-4074,541-801-5717,carissa.batman@yahoo.com,http://www.polettokimdavidesq.com,Carissa Batman,https://mosaic01.ztat.net/vgs/media/large/NA/82/3A/0E/MK/11/NA823A0EM-K11@8.jpg
Lezlie,Craghead,"Chang, Carolyn Esq",749 W 18th St #45,Smithfield,Johnston,NC,27577,919-533-3762,919-885-2453,lezlie.craghead@craghead.org,http://www.changcarolynesq.com,Lezlie Craghead,https://mosaic01.ztat.net/vgs/media/large/NA/82/3A/0E/MK/11/NA823A0EM-K11@8.jpg
Ozell,Shealy,Silver Bros Inc,8 Industry Ln,New York,New York,NY,10002,212-332-8435,212-880-8865,oshealy@hotmail.com,http://www.silverbrosinc.com,Ozell Shealy,https://mosaic01.ztat.net/vgs/media/large/NA/82/3A/0E/MK/11/NA823A0EM-K11@8.jpg
Arminda,Parvis,Newtec Inc,1 Huntwood Ave,Phoenix,Maricopa,AZ,85017,602-906-9419,602-277-3025,arminda@parvis.com,http://www.newtecinc.com,Arminda Parvis,https://mosaic01.ztat.net/vgs/media/large/NA/82/3A/0E/MK/11/NA823A0EM-K11@8.jpg
Reita,Leto,Creative Business Systems,55262 N French Rd,Indianapolis,Marion,IN,46240,317-234-1135,317-787-5514,reita.leto@gmail.com,http://www.creativebusinesssystems.com,Reita Leto,https://mosaic01.ztat.net/vgs/media/large/NA/82/3A/0E/MK/11/NA823A0EM-K11@8.jpg
Yolando,Luczki,Dal Tile Corporation,422 E 21st St,Syracuse,Onondaga,NY,13214,315-304-4759,315-640-6357,yolando@cox.net,http://www.daltilecorporation.com,Yolando Luczki,https://mosaic01.ztat.net/vgs/media/large/NA/82/3A/0E/MK/11/NA823A0EM-K11@8.jpg
Lizette,Stem,Edward S Katz,501 N 19th Ave,Cherry Hill,Camden,NJ,8002,856-487-5412,856-702-3676,lizette.stem@aol.com,http://www.edwardskatz.com,Lizette Stem,https://mosaic01.ztat.net/vgs/media/large/NA/82/3A/0E/MK/11/NA823A0EM-K11@8.jpg
Gregoria,Pawlowicz,Oh My Goodknits Inc,455 N Main Ave,Garden City,Nassau,NY,11530,516-212-1915,516-376-4230,gpawlowicz@yahoo.com,http://www.ohmygoodknitsinc.com,Gregoria Pawlowicz,https://mosaic01.ztat.net/vgs/media/large/NA/82/3A/0E/MK/11/NA823A0EM-K11@8.jpg
Carin,Deleo,"Redeker, Debbie",1844 Southern Blvd,Little Rock,Pulaski,AR,72202,501-308-1040,501-409-6072,cdeleo@deleo.com,http://www.redekerdebbie.com,Carin Deleo,https://mosaic01.ztat.net/vgs/media/large/GL/91/1A/01/FC/11/GL911A01F-C11@14.jpg
Chantell,Maynerich,Desert Sands Motel,2023 Greg St,Saint Paul,Ramsey,MN,55101,651-591-2583,651-776-9688,chantell@yahoo.com,http://www.desertsandsmotel.com,Chantell Maynerich,https://mosaic01.ztat.net/vgs/media/large/GL/91/1A/01/FC/11/GL911A01F-C11@14.jpg
Dierdre,Yum,Cummins Southern Plains Inc,63381 Jenks Ave,Philadelphia,Philadelphia,PA,19134,215-325-3042,215-346-4666,dyum@yahoo.com,http://www.cumminssouthernplainsinc.com,Dierdre Yum,https://mosaic01.ztat.net/vgs/media/large/GL/91/1A/01/FC/11/GL911A01F-C11@14.jpg
Larae,Gudroe,Lehigh Furn Divsn Lehigh,6651 Municipal Rd,Houma,Terrebonne,LA,70360,985-890-7262,985-261-5783,larae_gudroe@gmail.com,http://www.lehighfurndivsnlehigh.com,Larae Gudroe,https://mosaic01.ztat.net/vgs/media/large/GL/91/1A/01/FC/11/GL911A01F-C11@14.jpg
Latrice,Tolfree,United Van Lines Agent,81 Norris Ave #525,Ronkonkoma,Suffolk,NY,11779,631-957-7624,631-998-2102,latrice.tolfree@hotmail.com,http://www.unitedvanlinesagent.com,Latrice Tolfree,https://mosaic01.ztat.net/vgs/media/large/GL/91/1A/01/FC/11/GL911A01F-C11@14.jpg
Kerry,Theodorov,Capitol Reporters,6916 W Main St,Sacramento,Sacramento,CA,95827,916-591-3277,916-770-7448,kerry.theodorov@gmail.com,http://www.capitolreporters.com,Kerry Theodorov,https://mosaic01.ztat.net/vgs/media/large/GL/91/1A/01/FC/11/GL911A01F-C11@14.jpg
Dorthy,Hidvegi,Kwik Kopy Printing,9635 S Main St,Boise,Ada,ID,83704,208-649-2373,208-690-3315,dhidvegi@yahoo.com,http://www.kwikkopyprinting.com,Dorthy Hidvegi,https://mosaic01.ztat.net/vgs/media/large/DO/B1/1E/00/0Q/11/DOB11E000-Q11@12.jpg
Fannie,Lungren,Centro Inc,17 Us Highway 111,Round Rock,Williamson,TX,78664,512-587-5746,512-528-9933,fannie.lungren@yahoo.com,http://www.centroinc.com,Fannie Lungren,https://mosaic01.ztat.net/vgs/media/large/DO/B1/1E/00/0Q/11/DOB11E000-Q11@12.jpg
Evangelina,Radde,"Campbell, Jan Esq",992 Civic Center Dr,Philadelphia,Philadelphia,PA,19123,215-964-3284,215-417-5612,evangelina@aol.com,http://www.campbelljanesq.com,Evangelina Radde,https://mosaic01.ztat.net/vgs/media/large/NA/88/3A/03/0I/11/NA883A030-I11@14.jpg
Novella,Degroot,"Evans, C Kelly Esq",303 N Radcliffe St,Hilo,Hawaii,HI,96720,808-477-4775,808-746-1865,novella_degroot@degroot.org,http://www.evansckellyesq.com,Novella Degroot,https://mosaic01.ztat.net/vgs/media/large/N1/24/3A/0N/PQ/11/N1243A0NP-Q11@12.jpg
Clay,Hoa,Scat Enterprises,73 Saint Ann St #86,Reno,Washoe,NV,89502,775-501-8109,775-848-9135,choa@hoa.org,http://www.scatenterprises.com,Clay Hoa,https://mosaic01.ztat.net/vgs/media/large/TO/21/3K/00/6C/11/TO213K006-C11@12.jpg
Jennifer,Fallick,"Nagle, Daniel J Esq",44 58th St,Wheeling,Cook,IL,60090,847-979-9545,847-800-3054,jfallick@yahoo.com,http://www.nagledanieljesq.com,Jennifer Fallick,https://mosaic01.ztat.net/vgs/media/large/TO/21/3K/00/6C/11/TO213K006-C11@12.jpg
Irma,Wolfgramm,Serendiquity Bed & Breakfast,9745 W Main St,Randolph,Morris,NJ,7869,973-545-7355,973-868-8660,irma.wolfgramm@hotmail.com,http://www.serendiquitybedbreakfast.com,Irma Wolfgramm,https://mosaic01.ztat.net/vgs/media/large/TO/21/3K/00/6C/11/TO213K006-C11@12.jpg
Eun,Coody,Ray Carolyne Realty,84 Bloomfield Ave,Spartanburg,Spartanburg,SC,29301,864-256-3620,864-594-4578,eun@yahoo.com,http://www.raycarolynerealty.com,Eun Coody,https://mosaic01.ztat.net/vgs/media/large/TO/21/3K/00/6C/11/TO213K006-C11@12.jpg
Sylvia,Cousey,"Berg, Charles E",287 Youngstown Warren Rd,Hampstead,Carroll,MD,21074,410-209-9545,410-863-8263,sylvia_cousey@cousey.org,http://www.bergcharlese.com,Sylvia Cousey,https://mosaic01.ztat.net/vgs/media/large/DP/52/1D/0C/4K/11/DP521D0C4-K11@12.jpg
Nana,Wrinkles,"Ray, Milbern D",6 Van Buren St,Mount Vernon,Westchester,NY,10553,914-855-2115,914-796-3775,nana@aol.com,http://www.raymilbernd.com,Nana Wrinkles,https://mosaic01.ztat.net/vgs/media/large/DP/52/1D/0C/4K/11/DP521D0C4-K11@12.jpg
Layla,Springe,Chadds Ford Winery,229 N Forty Driv,New York,New York,NY,10011,212-260-3151,212-253-7448,layla.springe@cox.net,http://www.chaddsfordwinery.com,Layla Springe,https://mosaic01.ztat.net/vgs/media/large/DP/52/1D/0C/4K/11/DP521D0C4-K11@12.jpg
Joesph,Degonia,A R Packaging,2887 Knowlton St #5435,Berkeley,Alameda,CA,94710,510-677-9785,510-942-5916,joesph_degonia@degonia.org,http://www.arpackaging.com,Joesph Degonia,https://mosaic01.ztat.net/vgs/media/large/DP/52/1D/0C/4K/11/DP521D0C4-K11@12.jpg
Annabelle,Boord,Corn Popper,523 Marquette Ave,Concord,Middlesex,MA,1742,978-697-6263,978-289-7717,annabelle.boord@cox.net,http://www.cornpopper.com,Annabelle Boord,https://mosaic01.ztat.net/vgs/media/large/DP/52/1D/0C/4K/11/DP521D0C4-K11@12.jpg
